pickup_zone,dropoff_zone
UN/Turtle Bay South,Clinton East
JFK Airport,South Ozone Park
Upper East Side North,Yorkville East
Midtown North,Times Sq/Theatre District
Midtown East,Midtown Center
Murray Hill,West Chelsea/Hudson Yards
Upper East Side North,East Harlem South
Upper East Side South,Sutton Place/Turtle Bay North
Lenox Hill East,Upper East Side South
Times Sq/Theatre District,Sutton Place/Turtle Bay North
Clinton East,Clinton West
Midtown North,Lincoln Square West
Midtown Center,Times Sq/Theatre District
Gramercy,East Village
Lenox Hill East,Yorkville West
UN/Turtle Bay South,Stuy Town/Peter Cooper Village
Clinton West,Garment District
LaGuardia Airport,Brooklyn Heights
Penn Station/Madison Sq West,Lower East Side
Financial District North,World Trade Center
Flatiron,Midtown North
East Village,Clinton West
World Trade Center,Financial District North
Kips Bay,Murray Hill
East Village,Lower East Side
Lenox Hill East,Financial District South
Upper West Side South,Upper West Side North
Times Sq/Theatre District,Midtown North
Upper East Side North,Lenox Hill East
Clinton East,Times Sq/Theatre District
Clinton East,Midtown North
Midtown East,Sutton Place/Turtle Bay North
SoHo,Lenox Hill East
Lincoln Square East,Central Harlem North
Midtown North,Garment District
Little Italy/NoLiTa,Financial District South
Lincoln Square East,Union Sq
Murray Hill,Midtown Center
JFK Airport,Midtown South
West Village,Flatiron
Times Sq/Theatre District,East Chelsea
Murray Hill,Midtown Center
Clinton East,Times Sq/Theatre District
Battery Park City,Little Italy/NoLiTa
Lower East Side,Midtown South
Morningside Heights,Manhattan Valley
Little Italy/NoLiTa,Gramercy
Battery Park City,Flatiron
Kips Bay,Union Sq
East Chelsea,Sutton Place/Turtle Bay North
Central Park,Upper West Side South
East Harlem South,Gramercy
Midtown South,Clinton East
Financial District South,Times Sq/Theatre District
Astoria,Upper West Side South
JFK Airport,Times Sq/Theatre District
Union Sq,Astoria
Upper East Side South,Midtown Center
Clinton West,Clinton East
Yorkville East,Clinton West
Garment District,Lincoln Square West
Times Sq/Theatre District,Murray Hill
Kips Bay,Lenox Hill East
West Village,Meatpacking/West Village West
Williamsburg (South Side),Bushwick North
Union Sq,Lincoln Square West
East Chelsea,West Village
Midtown East,JFK Airport
Lenox Hill West,Sutton Place/Turtle Bay North
West Village,TriBeCa/Civic Center
Financial District South,Lower East Side
Midtown East,Upper East Side North
Midtown South,Clinton East
Lenox Hill East,Yorkville West
Penn Station/Madison Sq West,Clinton East
Midtown North,Midtown Center
Little Italy/NoLiTa,Midtown Center
Upper East Side South,East Harlem South
Gramercy,Union Sq
Kips Bay,Columbia Street
Clinton East,Upper East Side South
Penn Station/Madison Sq West,Flatiron
Penn Station/Madison Sq West,Upper East Side North
Lenox Hill East,Sutton Place/Turtle Bay North
Flatiron,Central Park
JFK Airport,Murray Hill
Upper East Side North,Lenox Hill East
Clinton East,East Chelsea
Penn Station/Madison Sq West,Garment District
West Chelsea/Hudson Yards,Times Sq/Theatre District
Lower East Side,Midtown East
Meatpacking/West Village West,TriBeCa/Civic Center
JFK Airport,
Union Sq,Garment District
Upper West Side North,Upper West Side South
Penn Station/Madison Sq West,Midtown Center
Penn Station/Madison Sq West,Midtown North
Upper East Side North,Midtown Center
Greenwich Village North,Kips Bay
Times Sq/Theatre District,Central Park
Kips Bay,Fort Greene
Hamilton Heights,Manhattan Valley
Times Sq/Theatre District,Greenwich Village South
Lincoln Square East,Lincoln Square East
Midtown North,West Village
Midtown North,East Chelsea
West Chelsea/Hudson Yards,UN/Turtle Bay South
Lincoln Square East,Washington Heights North
Midtown Center,Flatiron
Lenox Hill West,Yorkville West
Times Sq/Theatre District,Penn Station/Madison Sq West
Washington Heights South,Manhattan Valley
Midtown Center,Hillcrest/Pomonok
Lenox Hill West,Upper East Side South
TriBeCa/Civic Center,TriBeCa/Civic Center
East Chelsea,Midtown East
East Harlem South,Greenwich Village North
East Village,Murray Hill
Upper East Side South,Midtown East
Penn Station/Madison Sq West,Kips Bay
Lincoln Square East,UN/Turtle Bay South
Brooklyn Heights,Carroll Gardens
Central Park,Upper West Side South
East Chelsea,Clinton East
Midtown Center,Clinton West
Upper West Side North,Manhattan Valley
Union Sq,Chinatown
Garment District,Flatiron
Midtown North,Battery Park City
Midtown South,Sutton Place/Turtle Bay North
Times Sq/Theatre District,Financial District South
Union Sq,Gramercy
Union Sq,Union Sq
Upper East Side North,Upper East Side North
Garment District,Union Sq
Upper West Side South,Times Sq/Theatre District
West Village,Midtown Center
Union Sq,SoHo
East Village,Penn Station/Madison Sq West
Midtown Center,Lenox Hill West
Lincoln Square East,Lincoln Square East
Yorkville East,UN/Turtle Bay South
Kips Bay,Midtown East
Upper East Side South,Midtown East
Midtown North,Midtown Center
JFK Airport,Elmhurst
Lenox Hill East,Central Harlem
Clinton East,Morningside Heights
Times Sq/Theatre District,Clinton East
,
Central Park,JFK Airport
Lincoln Square West,West Chelsea/Hudson Yards
Garment District,Midtown North
West Village,Times Sq/Theatre District
Clinton East,UN/Turtle Bay South
Times Sq/Theatre District,Upper West Side South
Lenox Hill East,Lenox Hill East
JFK Airport,Astoria
Midtown Center,Greenwich Village North
Carroll Gardens,Cobble Hill
Flatiron,Hudson Sq
Times Sq/Theatre District,UN/Turtle Bay South
Midtown North,Upper East Side North
Garment District,Clinton East
Lenox Hill East,East Harlem North
Garment District,Central Harlem
Midtown Center,Upper East Side South
LaGuardia Airport,Pelham Parkway
East Flatbush/Remsen Village,Starrett City
Upper East Side North,Upper East Side South
TriBeCa/Civic Center,Chinatown
Midtown East,East Harlem South
Gramercy,Murray Hill
Murray Hill,Clinton East
Manhattan Valley,Central Harlem
Midtown North,Midtown Center
LaGuardia Airport,Battery Park City
Upper West Side North,East Harlem South
Greenwich Village South,Lower East Side
Lenox Hill West,Lenox Hill East
Greenwich Village North,Kips Bay
TriBeCa/Civic Center,Penn Station/Madison Sq West
Washington Heights South,Hamilton Heights
TriBeCa/Civic Center,Times Sq/Theatre District
Clinton East,Garment District
Midtown North,Penn Station/Madison Sq West
Manhattan Valley,Upper West Side North
Lower East Side,Union Sq
Brooklyn Heights,Columbia Street
Clinton West,West Chelsea/Hudson Yards
Midtown South,Murray Hill
Penn Station/Madison Sq West,West Chelsea/Hudson Yards
UN/Turtle Bay South,Garment District
Upper East Side North,Midtown East
Lenox Hill West,Yorkville East
LaGuardia Airport,
Lenox Hill East,Sutton Place/Turtle Bay North
Clinton East,Upper West Side North
Jamaica,Upper West Side North
East Chelsea,East Village
Upper East Side North,Midtown East
Upper East Side North,Upper East Side North
Lenox Hill East,Upper East Side South
Upper West Side South,Lincoln Square East
JFK Airport,Sutton Place/Turtle Bay North
West Village,Greenwich Village North
East Chelsea,Flatlands
JFK Airport,Rego Park
Yorkville West,Lenox Hill East
Yorkville West,Upper East Side North
Garment District,Murray Hill
West Village,SoHo
Lenox Hill East,Seaport
Greenwich Village South,Midtown North
Penn Station/Madison Sq West,Lincoln Square West
Lincoln Square West,Lenox Hill East
Murray Hill,East Village
Lenox Hill West,Midtown North
Bloomingdale,Upper West Side South
Midtown South,Union Sq
Meatpacking/West Village West,West Village
Upper East Side South,Central Park
,
Garment District,Lenox Hill East
East Harlem North,East Harlem South
Upper East Side South,Lenox Hill West
Midtown Center,UN/Turtle Bay South
Times Sq/Theatre District,Upper West Side South
Murray Hill,Lower East Side
Lincoln Square West,Midtown North
Union Sq,West Village
Upper East Side North,Upper East Side South
Midtown South,Midtown East
East Chelsea,Midtown Center
Lincoln Square East,UN/Turtle Bay South
LaGuardia Airport,Murray Hill-Queens
Penn Station/Madison Sq West,Midtown East
Upper East Side South,Times Sq/Theatre District
Union Sq,Sutton Place/Turtle Bay North
Murray Hill,Gramercy
Upper West Side North,Upper West Side South
Lincoln Square East,LaGuardia Airport
Upper West Side North,Midtown South
Union Sq,Murray Hill
Long Island City/Queens Plaza,Upper East Side North
Upper West Side South,Times Sq/Theatre District
Clinton East,Lenox Hill West
Sunnyside,Lincoln Square East
West Chelsea/Hudson Yards,Greenpoint
Upper East Side North,Midtown East
Greenwich Village North,East Village
Chinatown,Crown Heights North
East Harlem North,East Harlem South
Lower East Side,TriBeCa/Civic Center
Meatpacking/West Village West,West Chelsea/Hudson Yards
Midtown Center,Clinton East
Sutton Place/Turtle Bay North,Midtown East
Marble Hill,Lincoln Square East
Clinton East,Maspeth
LaGuardia Airport,Upper East Side North
Upper West Side North,Morningside Heights
Upper East Side North,Upper East Side South
Times Sq/Theatre District,World Trade Center
Financial District North,Clinton Hill
Upper East Side North,Lenox Hill West
Penn Station/Madison Sq West,Greenwich Village North
Manhattan Valley,Upper West Side South
Penn Station/Madison Sq West,Midtown Center
Astoria,Queensbridge/Ravenswood
Central Harlem,East Harlem North
Flatiron,Murray Hill
Central Harlem North,Central Harlem North
Times Sq/Theatre District,Midtown South
Union Sq,Battery Park City
TriBeCa/Civic Center,Murray Hill
Midtown East,Penn Station/Madison Sq West
Midtown South,Mott Haven/Port Morris
JFK Airport,JFK Airport
West Chelsea/Hudson Yards,Little Italy/NoLiTa
Midtown South,Union Sq
Midtown East,Midtown Center
Penn Station/Madison Sq West,Murray Hill
East Village,Stuy Town/Peter Cooper Village
Murray Hill,Union Sq
Gramercy,Gramercy
Midtown North,Garment District
Upper West Side North,Manhattan Valley
Penn Station/Madison Sq West,Murray Hill
Manhattan Valley,Upper West Side South
Bloomingdale,Gramercy
Garment District,Murray Hill
Lower East Side,Lower East Side
Chinatown,Fort Greene
Gramercy,Lincoln Square East
Midtown Center,Lenox Hill East
Lincoln Square East,East Chelsea
Union Sq,TriBeCa/Civic Center
Upper East Side South,Lenox Hill East
Union Sq,Kips Bay
Lincoln Square East,Flatbush/Ditmas Park
Clinton West,Clinton East
Manhattanville,Upper West Side South
Yorkville West,Lenox Hill West
Midtown Center,
LaGuardia Airport,Elmhurst
Upper West Side South,Lincoln Square East
Lenox Hill West,Yorkville West
Morningside Heights,Flatlands
Lenox Hill West,East Harlem South
Manhattan Valley,Lenox Hill West
Murray Hill,Greenwich Village North
East Chelsea,Clinton East
Times Sq/Theatre District,West Chelsea/Hudson Yards
East Village,East Village
JFK Airport,Richmond Hill
Greenwich Village North,West Chelsea/Hudson Yards
Greenwich Village South,World Trade Center
Midtown Center,Clinton East
Central Park,Lenox Hill West
Long Island City/Hunters Point,Long Island City/Hunters Point
Gramercy,Midtown South
Garment District,Midtown North
Clinton West,Central Harlem North
Murray Hill,Penn Station/Madison Sq West
Upper West Side South,Bloomingdale
Lenox Hill West,Penn Station/Madison Sq West
Times Sq/Theatre District,Murray Hill
Bushwick South,Bushwick South
Lenox Hill East,Kips Bay
TriBeCa/Civic Center,East Village
Upper East Side North,Yorkville West
Lincoln Square East,Manhattan Valley
Midtown North,Upper West Side South
Midtown South,Murray Hill
Lenox Hill West,East Village
Upper East Side South,Midtown East
Hudson Sq,Midtown North
Lincoln Square West,Lincoln Square East
Greenwich Village South,Times Sq/Theatre District
Seaport,West Village
JFK Airport,Mount Hope
West Chelsea/Hudson Yards,Greenwich Village North
Clinton East,Hamilton Heights
Midtown North,Garment District
Lincoln Square East,Lenox Hill West
Lincoln Square East,Times Sq/Theatre District
Long Island City/Hunters Point,Long Island City/Hunters Point
Lincoln Square East,Upper East Side North
Midtown North,Midtown Center
Upper West Side North,Upper West Side North
Meatpacking/West Village West,Central Harlem North
Gramercy,Union Sq
Times Sq/Theatre District,Midtown East
Union Sq,Upper East Side North
LaGuardia Airport,Richmond Hill
East Harlem South,Yorkville West
Upper East Side South,Yorkville East
Clinton East,Garment District
Little Italy/NoLiTa,Greenwich Village South
Murray Hill,Greenwich Village North
Murray Hill,East Village
Murray Hill,Upper East Side South
Lincoln Square East,Battery Park City
Midtown North,UN/Turtle Bay South
West Chelsea/Hudson Yards,Greenwich Village South
Upper East Side South,Clinton East
Lincoln Square West,Lincoln Square East
Manhattan Valley,Murray Hill
Lincoln Square East,Upper West Side South
Little Italy/NoLiTa,Midtown East
Murray Hill,Yorkville West
Greenwich Village North,Little Italy/NoLiTa
JFK Airport,Lincoln Square East
Clinton East,Clinton East
SoHo,Meatpacking/West Village West
Flatiron,Greenwich Village South
TriBeCa/Civic Center,TriBeCa/Civic Center
Meatpacking/West Village West,Murray Hill
Midtown East,Midtown South
East Chelsea,Midtown Center
Sutton Place/Turtle Bay North,Clinton East
Yorkville West,Yorkville West
Garment District,Bloomingdale
Midtown East,Murray Hill
Upper East Side South,Lincoln Square West
Kips Bay,Sutton Place/Turtle Bay North
Yorkville West,Belmont
Clinton East,Lenox Hill East
Midtown Center,Murray Hill
Upper West Side North,Upper East Side North
Midtown South,Union Sq
Sutton Place/Turtle Bay North,Sutton Place/Turtle Bay North
Midtown Center,East Chelsea
Midtown East,Clinton East
Sutton Place/Turtle Bay North,Long Island City/Hunters Point
Gramercy,Garment District
Flatiron,Astoria
Lincoln Square East,Times Sq/Theatre District
Union Sq,Penn Station/Madison Sq West
Clinton East,Two Bridges/Seward Park
Upper East Side North,Upper East Side North
Manhattan Valley,Central Harlem North
Little Italy/NoLiTa,Downtown Brooklyn/MetroTech
Murray Hill,East Chelsea
West Chelsea/Hudson Yards,Upper West Side North
Upper East Side South,JFK Airport
Union Sq,Midtown South
Midtown South,Midtown Center
Midtown Center,Chinatown
Gramercy,Union Sq
Lincoln Square West,Union Sq
Upper West Side South,Central Park
JFK Airport,Murray Hill
East Village,Sutton Place/Turtle Bay North
Midtown East,Midtown East
Clinton East,Clinton East
Lincoln Square East,Sutton Place/Turtle Bay North
Greenwich Village North,Murray Hill
Penn Station/Madison Sq West,Midtown Center
SoHo,Gramercy
Clinton East,Times Sq/Theatre District
Lincoln Square West,Lincoln Square East
East Chelsea,Midtown South
Times Sq/Theatre District,Lincoln Square West
East Village,Clinton Hill
Times Sq/Theatre District,Times Sq/Theatre District
Midtown South,Midtown South
Central Harlem North,Upper East Side North
Lenox Hill East,Sutton Place/Turtle Bay North
Upper East Side North,Times Sq/Theatre District
Garment District,West Chelsea/Hudson Yards
Clinton East,Midtown North
Clinton East,Murray Hill
LaGuardia Airport,South Ozone Park
West Chelsea/Hudson Yards,Meatpacking/West Village West
Chinatown,Two Bridges/Seward Park
LaGuardia Airport,Clinton East
Midtown South,Meatpacking/West Village West
Murray Hill,Midtown East
Midtown South,Murray Hill
Lincoln Square East,Upper East Side South
JFK Airport,Cypress Hills
JFK Airport,World Trade Center
Little Italy/NoLiTa,World Trade Center
Upper East Side North,Morningside Heights
West Village,Times Sq/Theatre District
Clinton East,Midtown East
Manhattan Valley,Manhattan Valley
Midtown East,Midtown Center
Garment District,TriBeCa/Civic Center
Times Sq/Theatre District,Upper East Side South
Little Italy/NoLiTa,SoHo
Lenox Hill West,Sutton Place/Turtle Bay North
Upper East Side South,Upper East Side South
Clinton East,Midtown North
Midtown East,Times Sq/Theatre District
Lenox Hill East,Penn Station/Madison Sq West
Lenox Hill West,Lenox Hill West
Yorkville West,Upper East Side North
Upper West Side South,Lincoln Square West
Upper West Side North,Battery Park City
West Chelsea/Hudson Yards,Union Sq
East Village,East Williamsburg
Clinton West,Midtown Center
Mott Haven/Port Morris,East Harlem North
Lenox Hill West,Midtown East
South Williamsburg,Downtown Brooklyn/MetroTech
Sutton Place/Turtle Bay North,Upper East Side South
Washington Heights South,Hamilton Heights
JFK Airport,Flatlands
Alphabet City,Stuy Town/Peter Cooper Village
Midtown North,LaGuardia Airport
Sunnyside,Roosevelt Island
Lincoln Square East,Central Park
Midtown South,Midtown East
West Village,TriBeCa/Civic Center
Gramercy,Stuy Town/Peter Cooper Village
JFK Airport,Springfield Gardens South
Lower East Side,East Village
Penn Station/Madison Sq West,UN/Turtle Bay South
Williamsburg (South Side),Bushwick South
Lincoln Square East,Upper West Side North
Times Sq/Theatre District,Central Park
Midtown South,Clinton East
East Chelsea,Clinton East
LaGuardia Airport,Sunnyside
Midtown East,Alphabet City
Upper East Side North,Gramercy
Upper East Side South,Upper East Side South
Greenwich Village North,Greenwich Village South
Lenox Hill West,Long Island City/Hunters Point
East Chelsea,LaGuardia Airport
Clinton East,Union Sq
Murray Hill,Yorkville East
Midtown Center,Sunnyside
Downtown Brooklyn/MetroTech,Sunset Park West
Yorkville West,Lincoln Square East
Midtown Center,East Harlem South
Bloomingdale,Bloomingdale
Garment District,Murray Hill
Steinway,Midtown Center
Upper East Side South,Lenox Hill East
Manhattan Valley,Upper West Side South
TriBeCa/Civic Center,Battery Park City
Garment District,Union Sq
Little Italy/NoLiTa,Penn Station/Madison Sq West
East Harlem North,East Concourse/Concourse Village
Meatpacking/West Village West,Alphabet City
Midtown North,LaGuardia Airport
Midtown Center,West Chelsea/Hudson Yards
Lenox Hill West,Central Park
Flatiron,West Chelsea/Hudson Yards
Lenox Hill East,Upper East Side North
Central Park,Midtown Center
TriBeCa/Civic Center,TriBeCa/Civic Center
Midtown Center,Upper East Side North
Flatiron,Times Sq/Theatre District
LaGuardia Airport,Midtown East
Midtown North,Union Sq
West Village,Times Sq/Theatre District
Garment District,Times Sq/Theatre District
Sutton Place/Turtle Bay North,Midtown North
Clinton East,Washington Heights North
Upper East Side South,Upper East Side North
Lincoln Square West,Clinton East
Manhattan Valley,Upper West Side North
JFK Airport,JFK Airport
Midtown Center,Murray Hill
Murray Hill,Central Park
UN/Turtle Bay South,Lenox Hill West
Times Sq/Theatre District,Central Park
Upper West Side South,Upper West Side South
Midtown Center,UN/Turtle Bay South
Midtown South,Central Park
Midtown South,East Chelsea
Lenox Hill West,Midtown North
East Village,Alphabet City
Sutton Place/Turtle Bay North,East Village
Central Park,Clinton West
Midtown Center,Upper East Side North
Battery Park,Union Sq
Midtown South,Upper West Side North
East Chelsea,Times Sq/Theatre District
East Village,SoHo
Elmhurst,Woodside
Sutton Place/Turtle Bay North,Sutton Place/Turtle Bay North
Lenox Hill East,East Chelsea
Clinton East,Midtown East
Forest Hills,Corona
East Harlem North,East Harlem South
Carroll Gardens,Carroll Gardens
East Concourse/Concourse Village,East Concourse/Concourse Village
Central Harlem North,Central Harlem
Central Harlem North,Central Harlem North
Washington Heights South,Washington Heights North
East Harlem North,Yorkville East
Kew Gardens,Forest Hills
Highbridge Park,Hamilton Heights
East Harlem North,Central Harlem
Morningside Heights,East Harlem North
Forest Hills,South Ozone Park
East Harlem South,Central Harlem
Downtown Brooklyn/MetroTech,Red Hook
Greenpoint,Greenpoint
Elmhurst,Maspeth
Elmhurst,Briarwood/Jamaica Hills
North Corona,Jackson Heights
Fort Greene,Crown Heights South
East Harlem South,Upper East Side North
Crown Heights North,Clinton Hill
Cobble Hill,Brooklyn Heights
Park Slope,Cobble Hill
Washington Heights South,West Concourse
Central Harlem,Central Harlem North
Central Harlem North,Hamilton Heights
Astoria,Queensbridge/Ravenswood
Park Slope,Stuy Town/Peter Cooper Village
Hamilton Heights,Highbridge
Central Harlem,East Harlem North
Astoria,Woodside
Astoria,Astoria
Williamsburg (North Side),Greenpoint
East Williamsburg,Carroll Gardens
Queensbridge/Ravenswood,Queensbridge/Ravenswood
Bushwick South,Bushwick North
Brownsville,Queensbridge/Ravenswood
Brooklyn Heights,Fort Greene
Fort Greene,Prospect-Lefferts Gardens
Central Harlem,East Harlem South
Old Astoria,Jackson Heights
Bloomingdale,East Harlem North
Fort Greene,Bedford
Flatlands,Midwood
Morningside Heights,Morningside Heights
Boerum Hill,Sunset Park West
East Harlem North,East Harlem North
Astoria,Steinway
Sunnyside,Lenox Hill West
Long Island City/Hunters Point,Sunnyside
Elmhurst,Long Island City/Queens Plaza
Astoria,Old Astoria
Astoria,Astoria
Mount Hope,Belmont
Boerum Hill,Park Slope
Williamsburg (North Side),Crown Heights North
Fort Greene,Bay Ridge
University Heights/Morris Heights,Claremont/Bathgate
Jackson Heights,Jackson Heights
East Elmhurst,Long Island City/Queens Plaza
Elmhurst,Woodside
Jackson Heights,Jackson Heights
East Harlem North,East Harlem South
Crown Heights North,Crown Heights North
Jackson Heights,
Washington Heights South,Washington Heights South
Flushing,North Corona
Inwood,Hamilton Heights
Brooklyn Heights,Bedford
Morrisania/Melrose,West Concourse
North Corona,Elmhurst
Hamilton Heights,Central Harlem North
,
Astoria,Old Astoria
Central Harlem North,East Harlem North
Central Harlem,Central Harlem North
East Harlem North,Sutton Place/Turtle Bay North
East Harlem South,East Harlem South
East Harlem South,East Harlem South
Astoria,Steinway
Fort Greene,Crown Heights North
Elmhurst,Jackson Heights
Coney Island,Brighton Beach
East Flushing,
Inwood,Kingsbridge Heights
Jamaica,Baisley Park
Boerum Hill,Park Slope
Forest Hills,Hillcrest/Pomonok
East Harlem North,Central Harlem North
Astoria,Sunnyside
Woodside,Elmhurst
Central Harlem North,East Harlem North
Downtown Brooklyn/MetroTech,Downtown Brooklyn/MetroTech
Elmhurst,Forest Hills
East Williamsburg,Old Astoria
Woodside,Elmhurst
Old Astoria,Jackson Heights
Jackson Heights,Corona
Forest Hills,Forest Hills
Dyker Heights,Dyker Heights
Central Harlem,Hamilton Heights
Mott Haven/Port Morris,Soundview/Castle Hill
Astoria,East Elmhurst
Jackson Heights,Jackson Heights
Cobble Hill,Boerum Hill
Erasmus,Flatbush/Ditmas Park
Astoria,Old Astoria
Woodside,Jackson Heights
Hunts Point,Hunts Point
Washington Heights South,Van Cortlandt Village
Jackson Heights,Elmhurst
Rego Park,Ridgewood
Jamaica,Cambria Heights
Greenpoint,Greenpoint
Melrose South,East Concourse/Concourse Village
Rego Park,Rego Park
Astoria,Steinway
Woodside,Sunnyside
Central Park,Upper West Side North
Jackson Heights,Jackson Heights
Morningside Heights,Morningside Heights
Jackson Heights,Jackson Heights
East Concourse/Concourse Village,Melrose South
Queensbridge/Ravenswood,Long Island City/Hunters Point
Central Harlem,Central Harlem North
East Harlem South,East Harlem South
Elmhurst,Forest Hills
Astoria,East Elmhurst
Astoria,Old Astoria
Long Island City/Hunters Point,Park Slope
East Harlem North,Central Harlem
Long Island City/Hunters Point,Astoria
East Harlem South,East Harlem South
Woodside,Randalls Island
Forest Hills,Middle Village
East Harlem South,Bloomingdale
East Harlem North,Upper West Side North
Central Harlem North,Washington Heights South
Woodside,Elmhurst/Maspeth
Park Slope,Prospect Heights
Morningside Heights,Manhattan Valley
Bushwick North,Ocean Hill
Jackson Heights,Long Island City/Hunters Point
Astoria,Astoria
Central Harlem,Central Harlem North
East Harlem South,Upper West Side North
Astoria,Astoria
Brooklyn Heights,Red Hook
Elmhurst,Jackson Heights
Elmhurst,Jackson Heights
Elmhurst,Elmhurst
East Harlem North,Hamilton Heights
East Harlem North,Central Harlem
Central Park,Manhattan Valley
Bedford,Stuyvesant Heights
Cobble Hill,Boerum Hill
Brooklyn Heights,Clinton Hill
Woodside,Woodside
Elmhurst/Maspeth,Hudson Sq
Central Harlem,Central Harlem
Elmhurst,East Elmhurst
Morningside Heights,Morningside Heights
Central Harlem North,Central Harlem
East Harlem North,Manhattan Valley
Williamsburg (North Side),Greenwich Village South
Sunnyside,Financial District North
Central Harlem North,Central Harlem
Astoria,TriBeCa/Civic Center
Central Harlem,Central Harlem North
Jackson Heights,Murray Hill
Manhattanville,Clinton East
Washington Heights North,East Harlem North
Central Park,Yorkville West
East Harlem North,East Harlem North
Astoria,Steinway
Long Island City/Queens Plaza,Jackson Heights
East Harlem South,Mott Haven/Port Morris
Queensbridge/Ravenswood,Midtown North
Central Harlem,Morningside Heights
East Harlem North,Hunts Point
Downtown Brooklyn/MetroTech,Flatbush/Ditmas Park
Elmhurst,Elmhurst
Fort Greene,Park Slope
Washington Heights North,Washington Heights North
Rego Park,Elmhurst
East Harlem South,Yorkville West
East Harlem North,Central Park
Brooklyn Heights,Bedford
Astoria,Queensbridge/Ravenswood
Astoria,Woodside
Van Nest/Morris Park,East Tremont
Central Park,Upper East Side North
Downtown Brooklyn/MetroTech,Fort Greene
Stuyvesant Heights,Ocean Hill
East Harlem North,East Harlem South
Park Slope,Boerum Hill
Long Island City/Queens Plaza,Astoria
Belmont,East Tremont
Washington Heights South,Morningside Heights
Jackson Heights,West Chelsea/Hudson Yards
Sheepshead Bay,Sheepshead Bay
Prospect Heights,Sunset Park West
Sheepshead Bay,Sheepshead Bay
Washington Heights South,University Heights/Morris Heights
Clinton Hill,Fort Greene
Hamilton Heights,Washington Heights South
Steinway,Sunnyside
Park Slope,Park Slope
Forest Hills,Forest Hills
Morningside Heights,Central Harlem North
Jackson Heights,Woodside
Astoria,Astoria
Carroll Gardens,Gowanus
East Harlem South,Central Harlem
Astoria,Astoria
Elmhurst,Woodside
Flushing,Bayside
Norwood,West Concourse
Williamsburg (North Side),Williamsburg (South Side)
East Harlem South,East Harlem North
Jackson Heights,Queensboro Hill
Elmhurst,Jackson Heights
Astoria,Astoria
Long Island City/Hunters Point,Queensbridge/Ravenswood
Sunnyside,Midtown East
Central Harlem,Central Harlem North
Central Harlem,Morningside Heights
Central Harlem,Central Harlem North
East Harlem South,East Harlem North
Astoria,LaGuardia Airport
Park Slope,Crown Heights North
Central Harlem North,Central Harlem North
Park Slope,Crown Heights North
Jackson Heights,Elmhurst
Jackson Heights,Elmhurst/Maspeth
East Harlem South,East Harlem North
Astoria,Jackson Heights
Central Harlem North,Clinton East
Forest Hills,Corona
Central Harlem,Central Harlem North
Highbridge,Morrisania/Melrose
East Harlem South,East Harlem South
Central Harlem North,Hamilton Heights
Fort Greene,Little Italy/NoLiTa
Jackson Heights,Jackson Heights
Brooklyn Heights,Boerum Hill
Morningside Heights,Central Harlem
Central Harlem,Central Harlem North
Sheepshead Bay,Madison
Elmhurst,North Corona
Morningside Heights,Morningside Heights
Astoria,Astoria
Elmhurst,Corona
Steinway,Steinway
Steinway,Jackson Heights
Downtown Brooklyn/MetroTech,SoHo
Jackson Heights,Jackson Heights
Williamsburg (North Side),Lower East Side
Astoria,Astoria
Woodside,Elmhurst
Central Harlem,East Harlem North
Sheepshead Bay,Sheepshead Bay
Melrose South,East Concourse/Concourse Village
East Flatbush/Remsen Village,Meatpacking/West Village West
Hamilton Heights,Manhattanville
East Harlem North,Manhattanville
Parkchester,Parkchester
East Harlem North,East Harlem South
Carroll Gardens,Park Slope
Fort Greene,Fort Greene
Jackson Heights,North Corona
Elmhurst,Elmhurst
Fort Greene,Downtown Brooklyn/MetroTech
Manhattanville,Manhattanville
DUMBO/Vinegar Hill,Boerum Hill
Astoria,Old Astoria
Elmhurst,Elmhurst
East Harlem South,East Harlem North
Astoria,Old Astoria
Park Slope,Red Hook
East Harlem North,Manhattanville
DUMBO/Vinegar Hill,Bedford
North Corona,Jackson Heights
Fort Greene,Crown Heights North
Morningside Heights,Morningside Heights
Prospect Park,Crown Heights North
Central Harlem North,Central Harlem North
Central Harlem North,Central Harlem
Steinway,Astoria
East Harlem South,Bedford Park
Soundview/Bruckner,Parkchester
Old Astoria,Sunnyside
Brooklyn Heights,DUMBO/Vinegar Hill
Central Harlem,Central Harlem North
Central Harlem,East Harlem North
Elmhurst,Murray Hill-Queens
Woodside,Maspeth
East Harlem North,Upper East Side North
Forest Hills,Rego Park
Washington Heights North,Washington Heights North
Williamsburg (South Side),Greenpoint
Central Harlem North,Central Harlem North
Old Astoria,Long Island City/Queens Plaza
Washington Heights South,Washington Heights North
Rego Park,Forest Hills
Central Harlem,Washington Heights South
East Harlem North,Astoria
Forest Hills,South Ozone Park
Mount Hope,East Concourse/Concourse Village
East Harlem North,East Harlem South
East Harlem North,Yorkville West
Astoria,Astoria
Woodside,Sunnyside
South Jamaica,Jamaica
Astoria,Astoria
Jackson Heights,Elmhurst
Fort Greene,Flatbush/Ditmas Park
Manhattanville,West Concourse
DUMBO/Vinegar Hill,Cobble Hill
Park Slope,Cobble Hill
Steinway,LaGuardia Airport
Queensbridge/Ravenswood,Queensbridge/Ravenswood
Steinway,Jackson Heights
Woodside,Woodside
Park Slope,Park Slope
Forest Hills,Forest Hills
